Username,Follower,About,Location,PageURL,Sexual,EnneagramType,Gender,Groups
empte,"['Nightriser', 'PeacePassion', 'poniesalmon', 'Precious Stone', 'Regan', 'Roland Khan', 'Rose Macabre', 'Rugwyn', 'seraphiel', 'SFD Six', 'Christina', 'Chronicles94', 'Closet Extrovert', 'DayLightSun', 'Dr. Metallic', 'Eva', 'fishalee', 'Haruhi Suzumiya', 'helmetel', 'Holbach', 'So Long So Long', 'sunflowergirl', 'The Psychonaut', 'thehigher', 'treesee', 'Ungweliante', 'VenusMisty', 'Viktoria', 'Warriorqueen', 'William I am', 'Indigo Knight', 'jochris', 'JOy', 'jxlarrea', 'kuze420', 'Linesky', 'Liontiger', 'Marco Antonio', 'NephilimAzrael', 'nevermore', 'Aerorobyn', 'Alanna', 'Alysaria', 'ArchonAlarion', 'ArenaHomme', 'BehindSmile', 'Bohemian', 'bombshellex', 'Buffichar', 'cbelle', 'windex']","Ghostbuster; Debater; Insane; Quick Learner; Egocentric; Eccentric; Likes to know ""Shit""",Alternative Space Labyrinth,,,,Male,"['classical-music', 'metal', 'personality-tag-crew', 'nihongo', 'psychology', 'reading-group']"
-Alexandra-,,"Keen to explore peculiarities of... well, everything; like to contemplate (people often call it ""overthinking"", and boy, am I good at it), enjoy drawing and composing music.","I see the sun, so not far from you, I suppose",,,,Female,[]
-Halo-,,"I am the ghostliest Puerto Rican/Roman Italian you will ever meet... I am an ENTJ on the MBTI. I'm not super fond of people unless they are intelligent and trustworthy, or AT LEAST somewhat good looking or useful in one way or another (superficial yet deep- just don't let the looks run out). What can I say? I appreciate brains and beauty; one or the other; both is ideal.  I keep a small ring of close friends, the rest are pretty much expendable; useful as pawns to an end, and I like it that way. It takes a bit of work to earn my trust and friendship, and though I am quick to make acquaintances and connections, I am just as quick to shed them if they are not productive. I like to get returns on my investments, and this includes time with people. Don't waste my time. You won't be happy with what I take in return. I can be your best friend or your worst enemy. Anything else is business as usual. 
I'm a typical NT in that I don't like to spend a lot of time in the ""here-and-now"". I have a very keen sense of reality, but am eager to change it. I tend not to be a very ideological or idealistic person so as to remain objective. I can be bit of a misanthrope, and I judge very quickly and harshly, so never ask me my thoughts unless you want an honest answer and are prepared to have your ideas dissected and handed back to you in pieces.  
You will probably come to the conclusion that I am either stupid, very mean, very smart, negative, funny or friendly as this is what I am often told. Charming right? I can be if need be. You probably would recognize me as in touch with humanity until I choose to let it fall apart- then my friend YOU would see what we are all truly made of in our hearts (insert evil laughter here).",,,Female,Type 8w7,Male,[]
Cerulean,"['Kat117', 'Koran Angel', 'Kriash', 'L', 'Lady Nurture', 'LindseyCnl', 'LittleCuttie', 'lyssa24', 'Maritere', 'marked174', 'agokcen', 'ams', 'Aryn2', 'Baraka', 'Biliana', 'bubbleboy', 'Cherry Mars', 'chickydoda', 'Chilln', 'cityofcircuits', 'Miss Scarlet', 'nádej', 'nemogirl', 'NeonBomb', 'NephilimAzrael', 'nomnomcornships', 'o0Katie0o', 'OwLY', 'Owner Of A Lonely Heart', 'passionfruitx3', 'Frosty', 'gerardio', 'Happy about Nothing.', 'Heather White Karnas', 'I Kant', 'IAmMe2010', 'iDane', 'INTJellectual', 'Jamie.Ether', 'Jazzina', 'Toska', 'truth.pride.love', 'VernalVal', 'viva', 'Wasp', 'whyerr', 'WindowLicker', 'Xena2', 'PlushWitch', 'pretty.Odd', 'PurpleTree', 'Quin Sabe', 'Selene', 'shampoo', 'SilverMoon', 'Some Kind of Blue', 'Spades', 'SteffiQueenOfTheNerds', 'Conscience', 'Cool Breeze', 'DarkPurple', 'daydr3am', 'DreamStepper', 'electricky', 'emerald sea', 'EternalNocturne', 'Freyja', 'FromTheWorldUp']",,,,,Type 9w1,Male,[]
-Alpha-,,,In your face.,,Female,,Male,[]
.francesca,"['isamanthax', 'lifelessjules', 'starwars', 'TheCosmicHeart']",,,,Male,,Female,[]
.jennifer.,"['Bunker Man', 'Razvan', 'xxjamaleexx']",,,,Both,Type 1,,[]
626Stitch,,Youth is wasted on the young,, https://www.personalitycafe.com/members/626stitch.html,,Type 5w6,Male,[]
,"['infpnerdgirl', 'MoonLight', 'NightSkyGirl', 'sinistralpal', 'walkawaysun09', 'waterviolet']",,Arkansas, https://www.personalitycafe.com/members/68borderlander.html,,Type 2,,[]
69waystolove,"['Scarlet', 'shampoo', 'DreamingSoul', 'Em Dai', 'emerald sea', 'gravitate', 'inextricable', 'Kelly617', 'Lyssah', 'Parad0x', 'PlushWitch', 'SarcasticBlack']",,, https://www.personalitycafe.com/members/69waystolove.html,,Unknown,Male,[]
